Special Number,Month,Season,Total Weight,Recycle,Non-Recycle,Blue Net,Latitude,Longitude,Orientation,WindDirection,WindSpeed,Sediment,WidthLength,Coastline cleaned,Road Network,Tourist Business,Region
14,8,Summer,614,0,614,0,37.454314,23.074178,South,NE,1.0,Pebbles,4540,1816,1,0,3. ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ
15,8,Summer,685,0,685,0,37.470311,23.052986,North,N,4.0,Pebbles,5936,1484,1,0,3. ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ
16,8,Summer,243,0,243,0,37.633028,23.339183,North,N,3.0,Pebbles,376,188,0,0,3. ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ
17,8,Summer,190,0,190,0,37.507731,23.408819,North,N,3.0,Pebbles,1785,595,1,1,3. ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ
18,9,Fall,590,0,590,0,37.630081,23.333064,North,Calm,0.0,Pebbles,3561,1056,0,0,3. ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ
19,9,Fall,372,0,372,0,37.569878,23.360492,West,N,4.0,Pebbles,794,111,1,0,3. ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ
20,9,Fall,770,0,770,0,37.576344,23.359208,West,N,3.0,Pebbles,2425,357,1,0,3. ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ
21,9,Fall,344,0,344,0,37.573725,23.259719,North,N,3.0,Pebbles,519,101,1,0,3. ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ
22,9,Fall,210,0,210,0,37.648358,23.164814,East,NE,2.0,Pebbles,94,33,0,0,3. ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ
23,9,Fall,217,0,217,0,37.582833,23.235325,North,NE,2.0,Pebbles,874,135,0,0,3. ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ
24,9,Fall,22,0,22,0,37.692478,23.162006,East,NE,3.0,Pebbles,84,23,0,0,3. ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ
25,9,Fall,22,0,22,0,37.696281,23.165869,East,NE,3.0,Pebbles,139,28,0,0,3. ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ
26,9,Fall,1094,0,1094,0,37.713333,23.158167,East,NE,3.0,Pebbles,720,166,0,0,3. ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ
27,9,Fall,155,0,155,0,37.726219,23.126111,East,SW,3.0,Pebbles,1880,255,0,0,3. ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ
28,9,Fall,151,0,151,0,37.719186,23.146797,East,N,3.0,Pebbles,367,54,0,0,3. ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ
29,9,Fall,85,0,85,0,37.127919,24.431186,South,N,4.5,Pebbles,1507,61,0,0,4. ΣΕΡΙΦΟΣ
30,9,Fall,82,0,82,0,37.123653,24.495539,South,N,4.5,Sand,2229,92,0,0,4. ΣΕΡΙΦΟΣ
31,9,Fall,235,0,235,0,37.131006,24.435328,South,N,4.5,Mixed,2239,119,0,0,4. ΣΕΡΙΦΟΣ
32,9,Fall,249,0,249,0,37.145006,24.431222,West,N,4.5,Mixed,1243,88,0,0,4. ΣΕΡΙΦΟΣ
33,9,Fall,387,0,387,0,37.18315,24.445653,North,N,2.0,Pebbles,1990,144,0,0,4. ΣΕΡΙΦΟΣ
34,9,Fall,0,0,0,0,37.204192,24.47775,North,N,2.0,Sand,1,1,0,0,4. ΣΕΡΙΦΟΣ
35,9,Fall,35,0,35,0,37.200244,24.51365,North,N,2.0,Mixed,843,52,0,0,4. ΣΕΡΙΦΟΣ
36,9,Fall,0,0,0,0,37.204383,24.513031,North,N,2.0,Mixed,1,1,0,0,4. ΣΕΡΙΦΟΣ
37,9,Fall,561,0,561,0,37.189189,24.458089,North,N,2.0,Sand,6327,266,0,0,4. ΣΕΡΙΦΟΣ
38,9,Fall,0,0,0,0,36.790008,24.581794,East,SE,2.0,Sand,1,1,0,0,5. ΚΙΜΩΛΟΣ
39,9,Fall,0,0,0,0,36.809528,24.591417,East,SE,2.0,Pebbles,1,1,0,0,5. ΚΙΜΩΛΟΣ
40,9,Fall,3,0,3,0,36.812372,24.590372,East,SE,2.0,Sand,517,62,0,0,5. ΚΙΜΩΛΟΣ
41,9,Fall,349,0,349,0,36.829431,24.589375,North,SE,2.0,Sand,2012,87,0,0,5. ΚΙΜΩΛΟΣ
42,9,Fall,124,0,124,0,36.830422,24.572614,North,SE,2.0,Sand,2580,172,1,0,5. ΚΙΜΩΛΟΣ
43,9,Fall,74,0,74,0,36.829178,24.574456,North,SE,2.0,Mixed,341,65,0,0,5. ΚΙΜΩΛΟΣ
44,9,Fall,0,0,0,0,36.834539,24.571853,North,SE,2.0,Sand,1,1,0,0,5. ΚΙΜΩΛΟΣ
45,9,Fall,5,0,5,0,36.785231,24.531547,West,E,1.0,Sand,5808,320,1,0,5. ΚΙΜΩΛΟΣ
46,9,Fall,0,0,0,0,36.792047,24.531914,West,E,1.0,Sand,1,1,1,0,5. ΚΙΜΩΛΟΣ
47,9,Fall,0,0,0,0,36.805692,24.522592,West,E,1.0,Mixed,1,1,0,0,5. ΚΙΜΩΛΟΣ
48,9,Fall,0,0,0,0,36.774239,24.538267,South,E,1.0,Mixed,1,1,0,0,5. ΚΙΜΩΛΟΣ
49,9,Fall,205,0,205,0,36.834044,25.432586,North,W,2.0,Pebbles,301,6,0,0,6. ΗΡΑΚΛΕΙΑ
50,9,Fall,150,0,150,0,36.835906,25.426075,North,W,2.0,Rocky,129,14,0,0,6. ΗΡΑΚΛΕΙΑ
51,9,Fall,100,0,100,0,36.828461,25.423733,South,W,2.0,Mixed,1851,65,0,0,6. ΗΡΑΚΛΕΙΑ
52,9,Fall,0,0,0,0,36.822533,25.435172,South,W,2.0,Sand,1,1,0,0,6. ΗΡΑΚΛΕΙΑ
53,9,Fall,158,0,158,0,36.853392,25.451847,North,W,2.0,Sand,782,45,0,0,6. ΗΡΑΚΛΕΙΑ
54,9,Fall,0,0,0,0,36.826611,25.462197,South,NW,4.0,Mixed,1,1,0,0,6. ΗΡΑΚΛΕΙΑ
55,9,Fall,0,0,0,0,36.8245,25.458586,South,NW,4.0,Mixed,1,1,0,0,6. ΗΡΑΚΛΕΙΑ
56,9,Fall,0,0,0,0,36.844869,25.522772,North,NE,4.0,Mixed,1,1,0,0,7. ΣΧΟΙΝΟΥΣΑ - ΟΦΕΙΔΟΥΣΣΑ
57,9,Fall,0,0,0,0,36.844447,25.522681,South,NE,4.0,Mixed,1,1,0,0,7. ΣΧΟΙΝΟΥΣΑ - ΟΦΕΙΔΟΥΣΣΑ
58,9,Fall,0,0,0,0,36.855167,25.53455,South,NE,4.0,Sand,1,1,1,0,7. ΣΧΟΙΝΟΥΣΑ - ΟΦΕΙΔΟΥΣΣΑ
59,9,Fall,0,0,0,0,36.857481,25.531286,South,NE,4.0,Rocky,1,1,0,0,7. ΣΧΟΙΝΟΥΣΑ - ΟΦΕΙΔΟΥΣΣΑ
60,9,Fall,0,0,0,0,36.859114,25.525747,South,NE,4.0,Sand,1,1,0,0,7. ΣΧΟΙΝΟΥΣΑ - ΟΦΕΙΔΟΥΣΣΑ
61,9,Fall,0,0,0,0,36.856756,25.5238,South,NE,4.0,Mixed,1,1,0,0,7. ΣΧΟΙΝΟΥΣΑ - ΟΦΕΙΔΟΥΣΣΑ
62,9,Fall,0,0,0,0,36.854275,25.522606,South,NE,4.0,Sand,1,1,0,0,7. ΣΧΟΙΝΟΥΣΑ - ΟΦΕΙΔΟΥΣΣΑ
63,9,Fall,0,0,0,0,36.854581,25.521378,South,NE,4.0,Sand,1,1,0,0,7. ΣΧΟΙΝΟΥΣΑ - ΟΦΕΙΔΟΥΣΣΑ
64,9,Fall,0,0,0,0,36.856978,25.537361,East,NE,4.0,Sand,1,1,1,0,7. ΣΧΟΙΝΟΥΣΑ - ΟΦΕΙΔΟΥΣΣΑ
65,9,Fall,0,0,0,0,36.860897,25.535769,East,NE,4.0,Mixed,1,1,1,0,7. ΣΧΟΙΝΟΥΣΑ - ΟΦΕΙΔΟΥΣΣΑ
66,9,Fall,226,0,226,0,36.885722,25.512783,North,NW,2.0,Sand,393,25,0,0,7. ΣΧΟΙΝΟΥΣΑ - ΟΦΕΙΔΟΥΣΣΑ
67,9,Fall,0,0,0,0,36.902561,25.573142,South,W,2.0,Mixed,1,1,0,0,8. ΑΝΩ - ΚΑΤΩ ΚΟΥΦΟΝΗΣΙ
68,9,Fall,10,0,10,0,36.911969,25.580522,South,W,2.0,Pebbles,1206,86,0,0,8. ΑΝΩ - ΚΑΤΩ ΚΟΥΦΟΝΗΣΙ
69,9,Fall,0,0,0,0,36.913175,25.583225,South,W,2.0,Mixed,1,1,0,0,8. ΑΝΩ - ΚΑΤΩ ΚΟΥΦΟΝΗΣΙ
70,9,Fall,0,0,0,0,36.913458,25.589842,South,W,2.0,Pebbles,1,1,0,0,8. ΑΝΩ - ΚΑΤΩ ΚΟΥΦΟΝΗΣΙ
71,9,Fall,0,0,0,0,36.914661,25.592433,South,W,2.0,Mixed,1,1,0,0,8. ΑΝΩ - ΚΑΤΩ ΚΟΥΦΟΝΗΣΙ
72,9,Fall,19,0,19,0,36.945356,25.620528,East,NNE,4.0,Sand,5520,690,0,0,8. ΑΝΩ - ΚΑΤΩ ΚΟΥΦΟΝΗΣΙ
73,9,Fall,48,0,48,0,37.091956,25.822511,South,NW,2.0,Sand,1868,122,0,0,9. ΔΟΝΟΥΣΑ
74,9,Fall,0,0,0,0,37.090856,25.825272,South,NW,2.0,Mixed,1,1,0,0,9. ΔΟΝΟΥΣΑ
75,9,Fall,845,0,845,0,37.112914,25.796992,North,NW,2.0,Mixed,2484,160,0,0,9. ΔΟΝΟΥΣΑ
76,9,Fall,0,0,0,0,36.3491,25.82995,South,N,3.0,Rocky,1,1,0,0,10. ΑΝΑΦΗ
77,9,Fall,0,0,0,0,36.353811,25.826781,South,N,3.0,Pebbles,1,1,0,0,10. ΑΝΑΦΗ
78,9,Fall,0,0,0,0,36.354592,25.824417,South,N,3.0,Mixed,1,1,0,0,10. ΑΝΑΦΗ
79,9,Fall,0,0,0,0,36.3545,25.820817,South,N,3.0,Mixed,1,1,0,0,10. ΑΝΑΦΗ
80,9,Fall,0,0,0,0,36.353642,25.816928,South,N,3.0,Sand,1,1,0,0,10. ΑΝΑΦΗ
81,9,Fall,30,0,30,0,36.352117,25.810744,South,N,3.0,Sand,1183,91,0,1,10. ΑΝΑΦΗ
82,9,Fall,25,0,25,0,36.344369,25.780839,South,N,3.0,Sand,1426,101,0,0,10. ΑΝΑΦΗ
83,9,Fall,25,0,25,0,36.3447,25.777467,South,N,3.0,Sand,4353,237,0,0,10. ΑΝΑΦΗ
84,9,Fall,20,0,20,0,36.351169,25.751558,South,N,3.0,Mixed,860,99,0,1,10. ΑΝΑΦΗ
85,9,Fall,0,0,0,0,36.373417,25.735111,West,N,3.0,Rocky,1,1,0,0,10. ΑΝΑΦΗ
86,9,Fall,35,0,35,0,36.395122,25.776814,North,N,3.0,Sand,882,71,0,0,10. ΑΝΑΦΗ
87,9,Fall,0,0,0,0,36.834056,25.912831,South,NE,2.0,Mixed,1,1,0,0,11. ΑΜΟΡΓΟΣ
88,9,Fall,0,0,0,0,36.828147,25.907372,South,NE,2.0,Rocky,1,1,0,0,11. ΑΜΟΡΓΟΣ
89,9,Fall,175,0,175,0,36.824433,25.905878,South,NE,2.0,Mixed,3272,191,1,1,11. ΑΜΟΡΓΟΣ
90,9,Fall,180,0,180,0,36.786261,25.826972,South,NE,2.0,Sand,705,90,0,0,11. ΑΜΟΡΓΟΣ
91,9,Fall,200,0,200,0,36.793083,25.743208,North,NE,2.0,Sand,6743,145,1,1,11. ΑΜΟΡΓΟΣ
92,9,Fall,0,0,0,0,36.803967,25.748547,South,NE,2.0,Mixed,1,1,0,0,11. ΑΜΟΡΓΟΣ
93,9,Fall,92,0,92,0,36.802292,25.746372,South,NE,2.0,Mixed,1343,190,0,0,11. ΑΜΟΡΓΟΣ
94,10,Fall,871,0,871,0,36.80585,25.784328,North,NE,1.0,Pebbles,3829,247,0,0,11. ΑΜΟΡΓΟΣ
95,10,Fall,0,0,0,0,36.810547,25.792533,North,NE,1.0,Pebbles,1,1,0,0,11. ΑΜΟΡΓΟΣ
96,10,Fall,220,0,220,0,36.807972,25.800144,North,NE,1.0,Pebbles,80,18,0,0,11. ΑΜΟΡΓΟΣ
97,10,Fall,124,0,124,0,36.708653,25.175542,East,S,1.0,Mixed,492,57,0,0,12. ΣΙΚΙΝΟΣ
98,10,Fall,0,0,0,0,36.693578,25.166186,East,S,1.0,Sand,1,1,1,1,12. ΣΙΚΙΝΟΣ
99,10,Fall,0,0,0,0,36.664192,24.859819,North,SW,3.0,Sand,1,1,1,1,13. ΦΟΛΕΓΑΝΔΡΟΣ
100,10,Fall,0,0,0,0,36.636436,24.859836,South,SW,3.0,Sand,1,1,0,0,13. ΦΟΛΕΓΑΝΔΡΟΣ
101,10,Fall,0,0,0,0,36.630297,24.884514,South,SW,3.0,Sand,1,1,0,1,13. ΦΟΛΕΓΑΝΔΡΟΣ
102,10,Fall,0,0,0,0,36.6312,24.893819,South,SW,3.0,Sand,1,1,1,1,13. ΦΟΛΕΓΑΝΔΡΟΣ
103,10,Fall,0,0,0,0,36.629317,24.895197,South,SW,3.0,Rocky,1,1,0,0,13. ΦΟΛΕΓΑΝΔΡΟΣ
104,10,Fall,0,0,0,0,36.628389,24.895572,South,SW,3.0,Mixed,1,1,0,0,13. ΦΟΛΕΓΑΝΔΡΟΣ
105,10,Fall,0,0,0,0,36.59495,24.949386,South,SW,3.0,Mixed,1,1,0,0,13. ΦΟΛΕΓΑΝΔΡΟΣ
106,10,Fall,0,0,0,0,35.451894,24.175806,North,NE,2.0,Sand,1,1,1,1,14. ΚΡΗΤΗ
107,10,Fall,55,15,40,0,35.450756,24.181858,North,NE,2.0,Pebbles,1168,165,0,0,14. ΚΡΗΤΗ
108,10,Fall,235,7,228,0,35.519222,23.612733,North,NE,5.0,Mixed,14279,574,0,0,14. ΚΡΗΤΗ
109,10,Fall,0,0,0,0,35.512842,23.629658,North,NE,5.0,Sand,1,1,1,1,14. ΚΡΗΤΗ
110,10,Fall,0,0,0,0,35.4983,23.666583,North,NE,3.0,Sand,1,1,1,1,14. ΚΡΗΤΗ
111,10,Fall,0,0,0,0,35.517558,23.723644,North,NE,3.0,Pebbles,1,1,1,0,14. ΚΡΗΤΗ
112,10,Fall,0,0,0,0,35.520586,23.723258,North,NE,3.0,Pebbles,1,1,1,0,14. ΚΡΗΤΗ
113,10,Fall,0,0,0,0,35.535325,23.724983,North,NE,3.0,Pebbles,1,1,1,1,14. ΚΡΗΤΗ
114,10,Fall,0,0,0,0,35.59835,23.71095,North,NE,3.0,Sand,1,1,0,0,14. ΚΡΗΤΗ
115,10,Fall,0,0,0,0,35.592197,23.601769,North,NE,3.0,Rocky,1,1,0,0,14. ΚΡΗΤΗ
116,10,Fall,0,0,0,0,35.580836,23.604819,North,NE,3.0,Rocky,1,1,0,0,14. ΚΡΗΤΗ
117,10,Fall,0,0,0,0,35.639919,23.586864,North,NE,3.0,Rocky,1,1,0,0,14. ΚΡΗΤΗ
118,10,Fall,0,0,0,0,35.608144,23.57945,West,N,4.0,Sand,1,1,0,0,14. ΚΡΗΤΗ
119,10,Fall,837,47,790,0,35.588286,23.593111,West,N,4.0,Sand,2947,206,0,0,14. ΚΡΗΤΗ
120,10,Fall,20,5,15,0,35.509375,23.568597,West,N,4.0,Sand,1200,42,0,0,14. ΚΡΗΤΗ
121,10,Fall,369,0,369,0,35.492586,23.580375,West,NE,3.0,Sand,109316,894,1,1,14. ΚΡΗΤΗ
122,10,Fall,0,0,0,0,35.476861,23.565672,West,NE,3.0,Sand,1,1,1,1,14. ΚΡΗΤΗ
123,10,Fall,323,0,323,0,35.470642,23.564275,West,NE,1.0,Mixed,7600,559,1,1,14. ΚΡΗΤΗ
124,10,Fall,852,32,820,0,35.445578,23.570144,West,NE,1.0,Pebbles,26925,741,0,0,14. ΚΡΗΤΗ
125,10,Fall,188,18,170,0,35.418883,23.5637,West,NE,1.0,Pebbles,19930,873,1,1,14. ΚΡΗΤΗ
126,10,Fall,132,20,112,0,35.413203,23.554642,West,NE,1.0,Pebbles,8182,183,1,0,14. ΚΡΗΤΗ
127,10,Fall,0,0,0,0,35.395728,23.551028,West,W,2.0,Sand,1,1,1,0,14. ΚΡΗΤΗ
128,10,Fall,46,2,44,0,35.376836,23.538058,West,W,2.0,Mixed,15600,445,1,1,14. ΚΡΗΤΗ
129,10,Fall,103,5,98,0,35.348386,23.537914,West,W,2.0,Mixed,32189,461,1,0,14. ΚΡΗΤΗ
130,10,Fall,480,10,470,0,35.329503,23.548019,West,W,2.0,Mixed,11856,324,1,0,14. ΚΡΗΤΗ
131,10,Fall,230,5,225,0,35.3159,23.536547,West,W,2.0,Mixed,804,45,1,0,14. ΚΡΗΤΗ
132,10,Fall,24,5,19,0,35.288953,23.520208,West,S,2.0,Sand,726,15,0,0,14. ΚΡΗΤΗ
133,10,Fall,34,8,26,0,35.288969,23.526889,West,S,2.0,Pebbles,2457,71,0,0,14. ΚΡΗΤΗ
134,10,Fall,29,7,22,0,35.288219,23.529719,West,S,2.0,Pebbles,716,35,0,0,14. ΚΡΗΤΗ
135,10,Fall,0,0,0,0,35.282258,23.534758,West,S,2.0,Sand,1,1,0,0,14. ΚΡΗΤΗ
136,10,Fall,20,6,14,0,35.276142,23.536775,West,S,2.0,Pebbles,3091,74,1,0,14. ΚΡΗΤΗ
137,10,Fall,0,0,0,0,35.272986,23.539644,West,S,2.0,Rocky,1,1,1,1,14. ΚΡΗΤΗ
138,10,Fall,4,1,3,0,35.2701,23.539056,West,S,2.0,Sand,19460,519,0,1,14. ΚΡΗΤΗ
139,10,Fall,0,0,0,0,35.268314,23.550114,West,S,2.0,Rocky,1,1,0,0,14. ΚΡΗΤΗ
140,10,Fall,44,2,42,0,35.267806,23.554689,West,S,2.0,Pebbles,1452,135,0,0,14. ΚΡΗΤΗ
141,10,Fall,0,0,0,0,35.268567,23.562578,West,S,2.0,Sand,1,1,0,0,14. ΚΡΗΤΗ
142,10,Fall,48,1,47,0,35.259978,23.580283,West,S,2.0,Mixed,9831,289,0,0,14. ΚΡΗΤΗ
143,10,Fall,46,1,45,0,35.251525,23.579314,West,S,2.0,Mixed,1990,51,0,0,14. ΚΡΗΤΗ
144,10,Fall,53,2,51,0,35.249947,23.577808,West,S,2.0,Sand,3465,63,0,0,14. ΚΡΗΤΗ
145,10,Fall,17,7,10,0,35.238319,23.581611,South,SE,1.0,Mixed,2083,74,0,0,14. ΚΡΗΤΗ
146,10,Fall,172,15,157,0,35.236458,23.595344,South,SE,1.0,Mixed,21595,580,1,1,14. ΚΡΗΤΗ
147,10,Fall,197,5,192,0,35.232325,23.622953,South,SE,1.0,Mixed,13946,734,1,1,14. ΚΡΗΤΗ
148,10,Fall,0,0,0,0,35.233056,23.636319,South,SE,1.0,Sand,1,1,1,1,14. ΚΡΗΤΗ
149,10,Fall,41,3,38,0,35.234486,23.638917,South,N,3.0,Mixed,32810,809,1,0,14. ΚΡΗΤΗ
150,10,Fall,41,2,39,0,35.237347,23.651528,South,N,3.0,Pebbles,11910,389,1,0,14. ΚΡΗΤΗ
151,10,Fall,55,2,53,0,35.2364,23.660231,South,N,3.0,Mixed,1852,81,1,1,14. ΚΡΗΤΗ
152,10,Fall,0,0,0,0,35.238006,23.665156,South,N,3.0,Pebbles,1,1,1,0,14. ΚΡΗΤΗ
153,10,Fall,55,3,52,0,35.231508,23.678544,South,N,3.0,Mixed,60069,911,1,1,14. ΚΡΗΤΗ
154,10,Fall,101,7,94,0,35.237242,23.693953,South,N,3.0,Pebbles,21156,1076,1,1,14. ΚΡΗΤΗ
155,10,Fall,0,0,0,0,35.238936,23.714458,South,N,3.0,Sand,1,1,1,0,14. ΚΡΗΤΗ
156,10,Fall,0,0,0,0,35.238647,23.722403,South,Calm,0.0,Sand,1,1,1,1,14. ΚΡΗΤΗ
157,10,Fall,0,0,0,0,35.236575,23.719925,South,Calm,0.0,Sand,1,1,1,1,14. ΚΡΗΤΗ
158,10,Fall,0,0,0,0,35.240108,23.746531,South,Calm,0.0,Rocky,1,1,0,0,14. ΚΡΗΤΗ
159,10,Fall,0,0,0,0,35.238386,23.758228,South,Calm,0.0,Mixed,1,1,0,0,14. ΚΡΗΤΗ
160,10,Fall,0,0,0,0,35.240078,23.787222,South,Calm,0.0,Pebbles,1,1,0,0,14. ΚΡΗΤΗ
161,10,Fall,0,0,0,0,35.248156,23.811672,South,Calm,0.0,Sand,1,1,1,1,14. ΚΡΗΤΗ
162,10,Fall,17,5,12,0,35.244267,23.847572,South,Calm,0.0,Pebbles,4234,137,0,0,14. ΚΡΗΤΗ
163,10,Fall,45,10,35,0,35.238911,23.881653,South,Calm,0.0,Pebbles,4900,291,0,0,14. ΚΡΗΤΗ
164,10,Fall,0,0,0,0,35.227428,23.913292,South,Calm,0.0,Mixed,1,1,0,0,14. ΚΡΗΤΗ
165,10,Fall,0,0,0,0,35.223253,23.934628,South,E,1.0,Sand,1,1,0,0,14. ΚΡΗΤΗ
166,10,Fall,0,0,0,0,35.223722,23.939825,South,E,1.0,Sand,1,1,0,0,14. ΚΡΗΤΗ
167,10,Fall,0,0,0,0,35.229744,23.956336,South,E,1.0,Sand,1,1,0,1,14. ΚΡΗΤΗ
168,10,Fall,30,1,29,0,35.230211,23.968167,South,E,1.0,Mixed,5445,363,0,0,14. ΚΡΗΤΗ
169,10,Fall,50,1,49,0,35.231175,23.981283,South,E,1.0,Pebbles,14112,724,0,0,14. ΚΡΗΤΗ
170,10,Fall,155,1,154,0,35.229883,23.985814,South,E,1.0,Mixed,21608,422,0,0,14. ΚΡΗΤΗ
171,10,Fall,391,0,391,0,35.219153,24.003214,South,E,1.0,Mixed,109790,1524,0,1,14. ΚΡΗΤΗ
172,10,Fall,540,8,532,0,35.210597,24.010981,South,E,1.0,Mixed,31025,991,0,0,14. ΚΡΗΤΗ
173,10,Fall,0,0,0,0,35.200358,24.065956,South,W,2.0,Pebbles,1,1,0,1,14. ΚΡΗΤΗ
174,10,Fall,0,0,0,0,35.199547,24.098792,South,W,2.0,Mixed,1,1,0,0,14. ΚΡΗΤΗ
175,10,Fall,0,0,0,0,35.201675,24.107133,South,W,2.0,Sand,1,1,0,1,14. ΚΡΗΤΗ
176,10,Fall,6,1,5,0,35.202411,24.124392,South,W,2.0,Pebbles,5637,142,1,1,14. ΚΡΗΤΗ
177,10,Fall,16,2,14,0,35.193075,24.146503,South,W,2.0,Pebbles,1404,57,1,0,14. ΚΡΗΤΗ
178,10,Fall,0,0,0,0,35.1928,24.151003,South,W,2.0,Sand,1,1,1,0,14. ΚΡΗΤΗ
179,10,Fall,11,1,10,0,35.198494,24.179103,South,W,2.0,Pebbles,258,48,0,0,14. ΚΡΗΤΗ
180,10,Fall,10,1,9,0,5.199122,24.181947,South,W,2.0,Pebbles,936,101,0,0,14. ΚΡΗΤΗ
181,10,Fall,20,2,18,0,35.199989,24.185469,South,W,2.0,Pebbles,170,88,0,0,14. ΚΡΗΤΗ
182,10,Fall,0,0,0,0,35.200036,24.188331,South,W,2.0,Mixed,1,1,0,0,14. ΚΡΗΤΗ
183,10,Fall,9,1,8,0,35.200031,24.191142,South,W,2.0,Mixed,2121,211,1,1,14. ΚΡΗΤΗ
184,10,Fall,0,0,0,0,35.200861,24.1975,South,W,2.0,Rocky,1,1,1,0,14. ΚΡΗΤΗ
185,10,Fall,117,0,117,0,34.859286,24.109786,North,W,2.0,Sand,34216,653,1,1,14. ΚΡΗΤΗ
186,10,Fall,0,0,0,0,34.867561,24.085089,North,W,2.0,Sand,1,1,0,0,14. ΚΡΗΤΗ
187,10,Fall,0,0,0,0,34.870419,24.071258,North,W,2.0,Sand,1,1,0,0,14. ΚΡΗΤΗ
188,10,Fall,75,0,75,0,34.871128,24.064694,North,W,2.0,Sand,29399,747,0,0,14. ΚΡΗΤΗ
189,10,Fall,0,0,0,0,34.867086,24.066014,North,W,2.0,Sand,1,1,0,0,14. ΚΡΗΤΗ
190,10,Fall,9,0,9,0,34.859342,24.062942,North,W,2.0,Sand,13427,213,0,0,14. ΚΡΗΤΗ
191,10,Fall,0,0,0,0,34.804697,24.116492,South,W,2.0,Mixed,1,1,0,0,14. ΚΡΗΤΗ
192,10,Fall,107,6,101,0,34.804594,24.1234,South,W,2.0,Mixed,2484,173,0,0,14. ΚΡΗΤΗ
193,10,Fall,40,7,33,0,34.816736,24.123347,East,W,2.0,Pebbles,809,85,0,0,14. ΚΡΗΤΗ
194,10,Fall,77,17,60,0,34.827058,24.112867,East,W,2.0,Pebbles,585,151,0,0,14. ΚΡΗΤΗ
195,10,Fall,0,0,0,0,34.830875,24.111269,East,W,2.0,Sand,1,1,1,1,14. ΚΡΗΤΗ
196,10,Fall,46,2,44,0,35.196367,24.205989,South,E,2.0,Mixed,212,2544,1,0,14. ΚΡΗΤΗ
197,10,Fall,0,0,0,0,35.191561,24.216703,South,E,2.0,Sand,1,1,1,1,14. ΚΡΗΤΗ
198,10,Fall,0,0,0,0,35.187239,24.2237,South,E,2.0,Sand,1,1,1,1,14. ΚΡΗΤΗ
