Days of Operations,Special Number,Date,Beaches,Name of Beach,Total Weight,Recycle,Non-Recycle,Blue Net,Coordinates,Orientation,Sediment,WidthLength,Coastline of Clean Beach,Coastline cleaned,Finds/Comments,Beaches complete,Beaches check clean,Road Network,Tourist Business,source_file,source_row,Region,site_id,Month,Season,Latitude,Longitude,WindDirection,WindSpeed
14,9.0,2019-08-17,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 3 (2),,941.0,0.0,941.0,0.0,"37°20'3.98""N, 23°19'55.59""E",North,Pebbles,139.0,,23.0,,1.0,0.0,0,0,Typhoon1,20,ΔΟΚΟΣ,9,8,Summer,37.334439,23.332108,E,4.0
15,10.0,2019-08-18,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 4,,315.0,0.0,315.0,0.0,"37°20'4.91""N, 23°20'5.48""E",North,Pebbles,210.0,,24.0,,1.0,0.0,0,0,Typhoon1,21,ΔΟΚΟΣ,10,8,Summer,37.334697,23.334856,E,4.0
16,11.0,2019-08-19,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 5 (1),,575.0,0.0,575.0,0.0,"37°20'4.94""N, 23°20'10.14""E",North,Pebbles,,,45.0,,0.0,0.0,0,0,Typhoon1,22,ΔΟΚΟΣ,11,8,Summer,37.334706,23.33615,E,5.0
17,11.0,2019-08-20,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 5 (2),,102.0,0.0,102.0,0.0,"37°20'4.94""N, 23°20'10.14""E",North,Pebbles,470.0,,45.0,,1.0,0.0,0,0,Typhoon1,23,ΔΟΚΟΣ,11,8,Summer,37.334706,23.33615,E,5.0
18,12.0,2019-08-21,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 6,,121.0,0.0,121.0,0.0,"37°20'45.53""N, 23°19'14.31""E",North,Pebbles,312.0,,57.0,,1.0,0.0,0,0,Typhoon1,24,ΔΟΚΟΣ,12,8,Summer,37.345981,23.320642,NE,3.0
,,,,,,,,,,,,,,,,,,,,Typhoon1,25,ΔΟΚΟΣ,,,,,,,
,,,,,,,,,,,,,,,,,,,,Typhoon1,27,ΔΟΚΟΣ,,,,,,,
19,13.0,2019-08-22,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 1,ΠΑΡΑΛΊΑ ΔΑΡΔΕΖΆ,32.0,0.0,32.0,0.0,"37°24'24.73""N, 23°16'16.42""E",South,Pebbles,2088.0,,1044.0,,1.0,0.0,1,1,Typhoon1,29,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,13,8,Summer,37.406869,23.271228,NE,1.0
20,14.0,2019-08-23,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 2 (1),,320.0,0.0,320.0,0.0,"37°27'15.53""N, 23° 4'27.04""E",South,Pebbles,,,908.0,,0.0,0.0,1,0,Typhoon1,30,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,14,8,Summer,37.454314,23.074178,NE,1.0
21,14.0,2019-08-24,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 2 (2),,294.0,0.0,294.0,0.0,"37°27'15.53""N, 23° 4'27.04""E",South,Pebbles,4540.0,,908.0,,1.0,0.0,1,0,Typhoon1,31,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,14,8,Summer,37.454314,23.074178,N,4.0
,15.0,2019-08-24,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 3 (1),,310.0,0.0,310.0,0.0,"37°28'13.12""N, 23° 3'10.75""E",North,Pebbles,,,742.0,,0.0,0.0,1,0,Typhoon1,32,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,15,8,Summer,37.470311,23.052986,N,4.0
22,15.0,2019-08-25,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 3 (2),,375.0,0.0,375.0,0.0,"37°28'13.12""N, 23° 3'10.75""E",North,Pebbles,5936.0,,742.0,,1.0,0.0,1,0,Typhoon1,33,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,15,8,Summer,37.470311,23.052986,N,3.0
23,16.0,2019-08-30,ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 4,,243.0,0.0,243.0,0.0,"37°37'58.90""N, 23°20'21.06""E",North,Pebbles,376.0,,188.0,,1.0,0.0,0,0,Typhoon1,34,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,16,8,Summer,37.633028,23.339183,N,3.0
24,17.0,2019-08-31,ΤΡΟΙΖΉΝΑ ΠΑΡΑΛΊΑ 5,,190.0,0.0,190.0,0.0,"37°30'27.83""N, 23°24'31.75""E",North,Pebbles,1785.0,,595.0,,1.0,0.0,1,1,Typhoon1,35,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,17,8,Summer,37.507731,23.408819,N,3.0
26,18.0,2019-09-03,ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 6 (1),,410.0,0.0,410.0,0.0,"37°37'48.29""N, 23°19'59.03""E",North,Pebbles,,,528.0,,0.0,0.0,0,0,Typhoon1,36,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,18,9,Fall,37.630081,23.333064,Calm,0.0
27,18.0,2019-09-04,ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 6 (2),,180.0,0.0,180.0,0.0,"37°37'48.29""N, 23°19'59.03""E",North,Pebbles,3561.0,,528.0,,1.0,0.0,0,0,Typhoon1,37,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,18,9,Fall,37.630081,23.333064,N,4.0
,19.0,2019-09-04,ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 7,,372.0,0.0,372.0,0.0,"37°34'11.56""N, 23°21'37.77""E",West,Pebbles,794.0,,111.0,,1.0,0.0,1,0,Typhoon1,38,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,19,9,Fall,37.569878,23.360492,N,4.0
28,20.0,2019-09-05,ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 8,,770.0,0.0,770.0,0.0,"37°34'34.84""N, 23°21'33.15""E",West,Pebbles,2425.0,,357.0,,1.0,0.0,1,0,Typhoon1,39,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,20,9,Fall,37.576344,23.359208,N,3.0
,21.0,2019-09-05,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 9,ΠΑΡΑΛΊΑ ΜΎΛΟΣ,344.0,0.0,344.0,0.0,"37°34'25.41""N, 23°15'34.99""E",North,Pebbles,519.0,,101.0,,1.0,0.0,1,0,Typhoon1,40,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,21,9,Fall,37.573725,23.259719,N,3.0
29,22.0,2019-09-06,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 10,ΠΑΡΑΛΊΑ ΣΑΡΑΝΤΟΚΟΎΠΙ,210.0,0.0,210.0,0.0,"37°38'54.09""N, 23° 9'53.33""E",East,Pebbles,94.0,,33.0,,1.0,0.0,0,0,Typhoon1,41,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,22,9,Fall,37.648358,23.164814,NE,2.0
,23.0,2019-09-06,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 11,,217.0,0.0,217.0,0.0,"37°34'58.20""N, 23°14'7.17""E",North,Pebbles,874.0,,135.0,,1.0,0.0,0,0,Typhoon1,42,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,23,9,Fall,37.582833,23.235325,NE,2.0
30,24.0,2019-09-07,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 12,,22.0,0.0,22.0,0.0,"37°41'32.92""N, 23° 9'43.22""E",East,Pebbles,84.0,,23.0,,1.0,0.0,0,0,Typhoon1,43,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,24,9,Fall,37.692478,23.162006,NE,3.0
,25.0,2019-09-07,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 13,,22.0,0.0,22.0,0.0,"37°41'46.61""N, 23° 9'57.13""E",East,Pebbles,139.0,,28.0,,1.0,0.0,0,0,Typhoon1,44,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,25,9,Fall,37.696281,23.165869,NE,3.0
,26.0,2019-09-07,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 14 (1),,864.0,0.0,864.0,0.0,"37°42'48.00""N, 23° 9'29.40""E",East,Pebbles,,,83.0,,0.0,0.0,0,0,Typhoon1,45,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,26,9,Fall,37.713333,23.158167,NE,3.0
31,26.0,2019-09-08,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 14 (2),,230.0,0.0,230.0,0.0,"37°42'48.00""N, 23° 9'29.40""E",East,Pebbles,720.0,,83.0,,1.0,0.0,0,0,Typhoon1,46,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,26,9,Fall,37.713333,23.158167,SW,3.0
,27.0,2019-09-08,ΑΓΚΊΣΤΡΙ ΠΑΡΑΛΊΑ 15,,155.0,0.0,155.0,0.0,"37°43'34.39""N, 23° 7'34.00""E",East,Pebbles,1880.0,,255.0,,1.0,0.0,0,0,Typhoon1,47,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,27,9,Fall,37.726219,23.126111,SW,3.0
32,28.0,2019-09-11,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 16,,151.0,0.0,151.0,0.0,"37°43'9.07""N, 23° 8'48.47""E",East,Pebbles,367.0,,54.0,,1.0,0.0,0,0,Typhoon1,48,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,28,9,Fall,37.719186,23.146797,N,3.0
,,,,,,,,,,,,,,,,,,,,Typhoon1,49,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,,,,,,
,,,,,,,,,,,,,,,,,,,,Typhoon1,51,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,,,,,,
33,29.0,2019-09-16,ΣΈΡΙΦΟΣ ΠΑΡΑΛΊΑ 1,ΠΑΡΑΛΊΑ ΑΥΛΩΝΊΤΙΚΟ,85.0,0.0,85.0,0.0,"37° 7'40.51""N, 24°25'52.27""E",South,Pebbles,1507.0,,61.0,,1.0,0.0,0,0,Typhoon1,53,ΣΕΡΙΦΟΣ,29,9,Fall,37.127919,24.431186,N,4.5
,30.0,2019-09-16,ΣΈΡΙΦΟΣ ΠΑΡΑΛΊΑ 2,ΠΑΡΑΛΊΑ ΚΑΛΌ ΑΜΠΈΛΙ,82.0,0.0,82.0,0.0,"37° 7'25.15""N, 24°29'43.94""E",South,Sand,2229.0,,92.0,,1.0,0.0,0,0,Typhoon1,54,ΣΕΡΙΦΟΣ,30,9,Fall,37.123653,24.495539,N,4.5
,31.0,2019-09-16,ΣΈΡΙΦΟΣ ΠΑΡΑΛΊΑ 3,ΠΑΡΑΛΊΑ ΚΑΛΌΓΕΡΟΣ,235.0,0.0,235.0,0.0,"37° 7'51.62""N, 24°26'7.18""E",South,Mixed,2239.0,,119.0,,1.0,0.0,0,0,Typhoon1,55,ΣΕΡΙΦΟΣ,31,9,Fall,37.131006,24.435328,N,4.5
,32.0,2019-09-16,ΣΈΡΙΦΟΣ ΠΑΡΑΛΊΑ 4,,249.0,0.0,249.0,0.0,"37° 8'42.02""N, 24°25'52.40""E",West,Mixed,1243.0,,88.0,,1.0,0.0,0,0,Typhoon1,56,ΣΕΡΙΦΟΣ,32,9,Fall,37.145006,24.431222,N,4.5
34,33.0,2019-09-17,ΣΈΡΙΦΟΣ ΠΑΡΑΛΊΑ 5,,387.0,0.0,387.0,0.0,"37°10'59.34""N, 24°26'44.35""E",North,Pebbles,1990.0,,144.0,,1.0,0.0,0,0,Typhoon1,57,ΣΕΡΙΦΟΣ,33,9,Fall,37.18315,24.445653,N,2.0
,34.0,2019-09-17,ΣΈΡΙΦΟΣ ΠΑΡΑΛΊΑ 6,ΠΑΡΑΛΊΑ ΣΚΆΛΑ,0.0,0.0,0.0,0.0,"37°12'15.09""N, 24°28'39.90""E",North,Sand,,71.0,,,0.0,1.0,0,0,Typhoon1,58,ΣΕΡΙΦΟΣ,34,9,Fall,37.204192,24.47775,N,2.0
,35.0,2019-09-17,ΣΈΡΙΦΟΣ ΠΑΡΑΛΊΑ 7,ΠΑΡΑΛΊΑ ΒΟΡΕΙΝΌ,35.0,0.0,35.0,0.0,"37°12'0.88""N, 24°30'49.14""E",North,Mixed,843.0,,52.0,,1.0,0.0,0,0,Typhoon1,59,ΣΕΡΙΦΟΣ,35,9,Fall,37.200244,24.51365,N,2.0
,36.0,2019-09-17,ΣΈΡΙΦΟΣ ΠΑΡΑΛΊΑ 8,ΠΑΡΑΛΊΑ ΠΛΑΤΎΣ ΓΥΑΛΌΣ,0.0,0.0,0.0,0.0,"37°12'15.78""N, 24°30'46.91""E",North,Mixed,,56.0,,,0.0,1.0,0,0,Typhoon1,60,ΣΕΡΙΦΟΣ,36,9,Fall,37.204383,24.513031,N,2.0
,37.0,2019-09-17,ΣΈΡΙΦΟΣ ΠΑΡΑΛΊΑ 9,ΠΑΡΑΛΊΑ ΚΑΡΑΒΆΣ,561.0,0.0,561.0,0.0,"37°11'21.08""N, 24°27'29.12""E",North,Sand,6327.0,,266.0,,1.0,0.0,0,0,Typhoon1,61,ΣΕΡΙΦΟΣ,37,9,Fall,37.189189,24.458089,N,2.0
,,,,,,,,,,,,,,,,,,,,Typhoon1,62,ΣΕΡΙΦΟΣ,,,,,,,
,,,,,,,,,,,,,,,,,,,,Typhoon1,64,ΣΕΡΙΦΟΣ,,,,,,,
35,38.0,2019-09-18,ΚΊΜΩΛΟΣ ΠΑΡΑΛΊΑ 1,ΠΑΡΑΛΊΑ ΡΈΜΑ,0.0,0.0,0.0,0.0,"36°47'24.03""N, 24°34'54.46""E",East,Sand,,53.0,,,0.0,1.0,0,0,Typhoon1,66,ΚΙΜΩΛΟΣ,38,9,Fall,36.790008,24.581794,SE,2.0
,39.0,2019-09-18,ΚΊΜΩΛΟΣ ΠΑΡΑΛΊΑ 2,,0.0,0.0,0.0,0.0,"36°48'34.30""N, 24°35'29.10""E",East,Pebbles,,50.0,,,0.0,1.0,0,0,Typhoon1,67,ΚΙΜΩΛΟΣ,39,9,Fall,36.809528,24.591417,SE,2.0
,40.0,2019-09-18,ΚΊΜΩΛΟΣ ΠΑΡΑΛΊΑ 3,,3.0,0.0,3.0,0.0,"36°48'44.54""N, 24°35'25.34""E",East,Sand,517.0,,62.0,,1.0,0.0,0,0,Typhoon1,68,ΚΙΜΩΛΟΣ,40,9,Fall,36.812372,24.590372,SE,2.0
,41.0,2019-09-18,ΚΊΜΩΛΟΣ ΠΑΡΑΛΊΑ 4,ΠΑΡΑΛΊΑ ΓΚΊΩΝΗ,349.0,0.0,349.0,0.0,"36°49'45.95""N, 24°35'21.75""E",North,Sand,2012.0,,87.0,,1.0,0.0,0,0,Typhoon1,69,ΚΙΜΩΛΟΣ,41,9,Fall,36.829431,24.589375,SE,2.0
,42.0,2019-09-18,ΚΊΜΩΛΟΣ ΠΑΡΑΛΊΑ 5,ΠΑΡΑΛΊΑ ΜΟΝΑΣΤΉΡΙΑ,124.0,0.0,124.0,0.0,"36°49'49.52""N, 24°34'21.41""E",North,Sand,2580.0,,172.0,,1.0,0.0,1,0,Typhoon1,70,ΚΙΜΩΛΟΣ,42,9,Fall,36.830422,24.572614,SE,2.0
,43.0,2019-09-18,ΚΊΜΩΛΟΣ ΠΑΡΑΛΊΑ 6,,74.0,0.0,74.0,0.0,"36°49'45.04""N, 24°34'28.04""E",North,Mixed,341.0,,65.0,,1.0,0.0,0,0,Typhoon1,71,ΚΙΜΩΛΟΣ,43,9,Fall,36.829178,24.574456,SE,2.0
,44.0,2019-09-18,ΚΊΜΩΛΟΣ ΠΑΡΑΛΊΑ 7,ΠΑΡΑΛΊΑ ΣΟΎΦΙ,0.0,0.0,0.0,0.0,"36°50'4.34""N, 24°34'18.67""E",North,Sand,,106.0,,,0.0,1.0,0,0,Typhoon1,72,ΚΙΜΩΛΟΣ,44,9,Fall,36.834539,24.571853,SE,2.0
36,45.0,2019-09-19,ΚΊΜΩΛΟΣ ΠΑΡΑΛΊΑ 8,ΠΑΡΑΛΊΑ ΔΈΚΑΣ,5.0,0.0,5.0,0.0,"36°47'6.83""N, 24°31'53.57""E",West,Sand,5808.0,,320.0,,1.0,0.0,1,0,Typhoon1,73,ΚΙΜΩΛΟΣ,45,9,Fall,36.785231,24.531547,E,1.0
,46.0,2019-09-19,ΚΊΜΩΛΟΣ ΠΑΡΑΛΊΑ 9,ΠΑΡΑΛΊΑ ΜΑΥΡΟΣΠΗΛΙΆ,0.0,0.0,0.0,0.0,"36°47'31.37""N, 24°31'54.89""E",West,Sand,,165.0,,,0.0,1.0,1,0,Typhoon1,74,ΚΙΜΩΛΟΣ,46,9,Fall,36.792047,24.531914,E,1.0
,47.0,2019-09-19,ΚΊΜΩΛΟΣ ΠΑΡΑΛΊΑ 10,ΠΑΡΑΛΊΑ ΑΘΗΝΊΑ,0.0,0.0,0.0,0.0,"36°48'20.49""N, 24°31'21.33""E",West,Mixed,,121.0,,,0.0,1.0,0,0,Typhoon1,75,ΚΙΜΩΛΟΣ,47,9,Fall,36.805692,24.522592,E,1.0
,48.0,2019-09-19,ΚΊΜΩΛΟΣ ΠΑΡΑΛΊΑ 11,,0.0,0.0,0.0,0.0,"36°46'27.26""N, 24°32'17.76""E",South,Mixed,,35.0,,,0.0,1.0,0,0,Typhoon1,76,ΚΙΜΩΛΟΣ,48,9,Fall,36.774239,24.538267,E,1.0
,,,,,,,,,,,,,,,,,,,,Typhoon1,77,ΚΙΜΩΛΟΣ,,,,,,,
,,,,,,,,,,,,,,,,,,,,Typhoon1,79,ΚΙΜΩΛΟΣ,,,,,,,
37,49.0,2019-09-20,ΗΡΑΚΛΕΙΆ ΠΑΡΑΛΊΑ 1,,205.0,0.0,205.0,0.0,"36°50'2.56""N, 25°25'57.31""E",North,Pebbles,301.0,,6.0,,1.0,0.0,0,0,Typhoon1,81,ΗΡΑΚΛΕΙΑ,49,9,Fall,36.834044,25.432586,W,2.0
,50.0,2019-09-20,ΗΡΑΚΛΕΙΆ ΠΑΡΑΛΊΑ 2,,150.0,0.0,150.0,0.0,"36°50'9.26""N, 25°25'33.87""E",North,Rocky,129.0,,14.0,,1.0,0.0,0,0,Typhoon1,82,ΗΡΑΚΛΕΙΑ,50,9,Fall,36.835906,25.426075,W,2.0
,51.0,2019-09-20,ΗΡΑΚΛΕΙΆ ΠΑΡΑΛΊΑ 3,ΠΑΡΑΛΊΑ ΑΛΙΜΙΆΣ,100.0,0.0,100.0,0.0,"36°49'42.46""N, 25°25'25.44""E",South,Mixed,1851.0,,65.0,,1.0,0.0,0,0,Typhoon1,83,ΗΡΑΚΛΕΙΑ,51,9,Fall,36.828461,25.423733,W,2.0
,52.0,2019-09-20,ΗΡΑΚΛΕΙΆ ΠΑΡΑΛΊΑ 4,ΠΑΡΑΛΊΑ ΚΑΡΒΟΥΝΌΛΑΚΟΣ,0.0,0.0,0.0,0.0,"36°49'21.12""N, 25°26'6.62""E",South,Sand,,73.0,,,0.0,1.0,0,0,Typhoon1,84,ΗΡΑΚΛΕΙΑ,52,9,Fall,36.822533,25.435172,W,2.0
,53.0,2019-09-20,ΗΡΑΚΛΕΙΆ ΠΑΡΑΛΊΑ 5,ΠΑΡΑΛΊΑ ΒΟΡΕΙΝΉ,158.0,0.0,158.0,0.0,"36°51'12.21""N, 25°27'6.65""E",North,Sand,782.0,,45.0,,1.0,0.0,0,0,Typhoon1,85,ΗΡΑΚΛΕΙΑ,53,9,Fall,36.853392,25.451847,W,2.0
37,54.0,2019-09-21,ΗΡΑΚΛΕΙΆ ΠΑΡΑΛΊΑ 6,,0.0,0.0,0.0,0.0,"36°49'35.80""N, 25°27'43.91""E",South,Mixed,,77.0,,,0.0,1.0,0,0,Typhoon1,86,ΗΡΑΚΛΕΙΑ,54,9,Fall,36.826611,25.462197,NW,4.0
,55.0,2019-09-21,ΗΡΑΚΛΕΙΆ ΠΑΡΑΛΊΑ 7,,0.0,0.0,0.0,0.0,"36°49'28.20""N, 25°27'30.91""E",South,Mixed,,27.0,,,0.0,1.0,0,0,Typhoon1,87,ΗΡΑΚΛΕΙΑ,55,9,Fall,36.8245,25.458586,NW,4.0
,,,,,,,,,,,,,,,,,,,,Typhoon1,88,ΗΡΑΚΛΕΙΑ,,,,,,,
,,,,,,,,,,,,,,,,,,,,Typhoon1,90,ΗΡΑΚΛΕΙΑ,,,,,,,
37,56.0,2019-09-22,ΣΧΟΙΝΟΎΣΣΑ ΠΑΡΑΛΊΑ 1,,0.0,0.0,0.0,0.0,"36°50'41.53""N, 25°31'21.98""E",North,Mixed,,5.0,,,0.0,1.0,0,0,Typhoon1,92,ΣΧΟΙΝΟΥΣΑ - ΟΦΕΙΔΟΥΣΣΑ,56,9,Fall,36.844869,25.522772,NE,4.0
,57.0,2019-09-22,ΣΧΟΙΝΟΎΣΣΑ ΠΑΡΑΛΊΑ 2,ΠΑΡΑΛΊΑ ΦΕΙΔΟΎΣΑΣ,0.0,0.0,0.0,0.0,"36°50'40.01""N, 25°31'21.65""E",South,Mixed,,5.0,,,0.0,1.0,0,0,Typhoon1,93,ΣΧΟΙΝΟΥΣΑ - ΟΦΕΙΔΟΥΣΣΑ,57,9,Fall,36.844447,25.522681,NE,4.0
