site_id,region,beach_name,beaches,previous_visit_start_date,previous_visit_end_date,next_visit_start_date,next_visit_end_date,match_quality,site_review_reason,demographic_coordinate_source,is_strong_or_probable_match,has_all_selected_demographics,is_recommended_for_initial_model,next_total_weight,repollution_kg_per_day,repollution_kg_per_30_days,repollution_kg_per_90_days,repollution_positive,log1p_repollution_kg_per_day,previous_total_weight,days_between_visits,previous_visit_month,previous_visit_season,latitude,longitude,coastline_cleaned,width_length,road_network,tourist_business,orientation,sediment,wind_speed_previous,Pct_Age_15_34,Youth_Dependency,Avg_Household_Size,Unemployment_Rate,UrbanRural_Class,Daytime_Population_Pressure
5,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΆΓΙΟΣ ΓΕΏΡΓΙΟΣ ΠΑΡΑΛΊΑ 297,2023-08-25,2023-08-25,2024-04-12,2024-04-12,identity_review,review_coordinates; multiple_regions,interval_coordinate,0,1,0,0.0,0.0,0.0,0.0,0,0.0,19.0,231,8,Summer,37.480083,23.914028,315.0,6880.0,0.0,0.0,South,Pebbles,4.0,0.181272437655409,0.1628434258085171,2.370506321254478,9.4,Rural,0.0127601099332548
6,ΔΟΚΟΣ,ΠΑΡΑΛΊΑ ΜΟΥΖΆΚΙ,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 7,2019-08-11,2019-08-11,2023-06-10,2023-06-10,identity_review,multiple_regions,interval_coordinate,0,1,0,43.0,0.0307362401715511,0.9220872051465332,2.7662616154396,1,0.030273343179413204,201.0,1399,8,Summer,37.347844,23.276108,17.0,244.0,0.0,0.0,North,Pebbles,3.0,0.1902438196142054,0.2320408873569031,2.370506321254478,12.0,Rural,0.0147781538145784
7,ΔΟΚΟΣ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 1 (1) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 1 (2) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 1 (3),2019-08-11,2019-08-13,2020-01-26,2020-01-26,identity_review,multiple_regions,interval_coordinate,0,1,0,40.0,0.2409638554216867,7.228915662650603,21.686746987951807,1,0.2158883804330378,604.0,166,8,Summer,37.338733,23.298261,78.0,214.0,0.0,0.0,North,Mixed,3.0,0.1898879841137611,0.1863337992057656,2.370506321254478,16.9,Rural,0.0173765628311082
7,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 32,2020-01-26,2020-01-26,2023-06-09,2023-06-10,identity_review,multiple_regions,interval_coordinate,0,1,0,214.0,0.1739837398373983,5.219512195121951,15.658536585365852,1,0.1604028710863083,40.0,1230,1,Winter,37.338703,23.298328,17.0,212.0,0.0,0.0,North,Pebbles,0.0,0.1890604670693516,0.1855805867528696,2.370506321254478,14.1,Rural,0.0170174341876779
7,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 128 (1) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 128 (2),2023-06-09,2023-06-10,2025-10-14,2025-10-14,identity_review,multiple_regions,interval_coordinate,0,1,0,105.0,0.1225204200700116,3.67561260210035,11.02683780630105,1,0.11557653206792663,214.0,857,6,Summer,37.338778,23.298306,18.0,348.0,0.0,0.0,North,Pebbles,0.0,0.1817967189759689,0.1803002954295071,2.370506321254478,9.4,Rural,0.0127601099332548
8,ΔΟΚΟΣ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 2,2019-08-14,2019-08-14,2020-01-26,2020-01-26,identity_review,multiple_regions,interval_coordinate,0,1,0,83.0,0.503030303030303,15.090909090909092,45.27272727272727,1,0.40748327226440156,312.0,165,8,Summer,37.338478,23.303542,46.0,298.0,0.0,0.0,North,Pebbles,2.0,0.1897984276495088,0.1751995830896101,2.370506321254478,16.9,Rural,0.0173765628311082
8,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 31,2020-01-26,2020-01-26,2023-06-08,2023-06-09,identity_review,multiple_regions,interval_coordinate,0,1,0,44.0,0.0358014646053702,1.0740439381611064,3.2221318144833195,1,0.03517548899137168,83.0,1229,1,Winter,37.338606,23.303336,53.0,399.0,0.0,0.0,North,Pebbles,0.0,0.188966786119963,0.1746962210790897,2.370506321254478,14.1,Rural,0.0170174341876779
8,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 127 (1) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 127 (2),2023-06-08,2023-06-09,2025-10-14,2025-10-14,identity_review,multiple_regions,interval_coordinate,0,1,0,81.0,0.0944055944055944,2.832167832167832,8.496503496503497,1,0.09021137972030062,44.0,858,6,Summer,37.338639,23.303333,50.0,396.0,0.0,0.0,North,Pebbles,2.0,0.1814802778396368,0.1697304007248674,2.370506321254478,9.4,Rural,0.0127601099332548
16,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 4,2019-08-30,2019-08-30,2025-11-03,2025-11-03,identity_review,multiple_regions,interval_coordinate,0,1,0,0.0,0.0,0.0,0.0,0,0.0,243.0,2257,8,Summer,37.633028,23.339183,188.0,376.0,0.0,0.0,North,Pebbles,3.0,0.1651213766109964,0.2181358886486369,2.370506321254478,16.9,Rural,0.0173765628311082
18,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 6 (1) | ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 6 (2),2019-09-03,2019-09-04,2023-07-28,2023-07-31,identity_review,probable; multiple_regions,interval_coordinate,0,1,0,498.0,0.3499648629655657,10.498945888966972,31.496837666900916,1,0.3000785646787043,590.0,1423,9,Fall,37.630081,23.333064,1056.0,3561.0,0.0,0.0,North,Pebbles,0.0,0.165121339475294,0.2181359512938607,2.370506321254478,16.9,Rural,0.0173765628311082
18,ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 542 (1) | ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 542 (2) | ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 542 (3) | ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 542 (4),2023-07-28,2023-07-31,2025-11-04,2025-11-04,identity_review,probable; multiple_regions,interval_coordinate,0,1,0,277.0,0.3349455864570738,10.048367593712214,30.14510278113664,1,0.28889053181334934,498.0,827,7,Summer,37.631083,23.3355,2208.0,6915.0,0.0,0.0,North,Pebbles,4.0,0.1575345616329669,0.2097755345425627,2.370506321254478,9.4,Rural,0.0127601099332548
19,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 7,2019-09-04,2019-09-04,2025-11-06,2025-11-06,identity_review,multiple_regions,interval_coordinate,0,1,0,0.0,0.0,0.0,0.0,0,0.0,372.0,2255,9,Fall,37.569878,23.360492,111.0,794.0,1.0,0.0,West,Pebbles,4.0,0.1651213669859564,0.2181360680759085,2.370506321254478,16.9,Rural,0.0173765628311082
20,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 8,2019-09-05,2019-09-05,2025-11-06,2025-11-06,identity_review,probable; multiple_regions,interval_coordinate,0,1,0,122.0,0.0541259982253771,1.6237799467613132,4.87133984028394,1,0.05271198588281393,770.0,2254,9,Fall,37.576344,23.359208,357.0,2425.0,1.0,0.0,West,Pebbles,3.0,0.1651213668613932,0.2181360642019292,2.370506321254478,16.9,Rural,0.0173765628311082
20,ΜΕΘΑΝΑ,,ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 58,2025-11-06,2025-11-06,2026-02-04,2026-02-04,identity_review,probable; multiple_regions,interval_coordinate,0,1,0,344.0,3.8222222222222224,114.66666666666669,344.0,1,1.5732348637701399,122.0,90,11,Fall,37.575111,23.359556,215.0,2357.0,0.0,0.0,ΔΥΤΙΚΗ,Mixed,3.5,0.1550333451229861,0.1982605468897782,2.370506321254478,8.1,Rural,0.0161798035759254
22,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,ΠΑΡΑΛΊΑ ΣΑΡΑΝΤΟΚΟΎΠΙ,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 10,2019-09-06,2019-09-06,2023-08-05,2023-08-05,identity_review,multiple_regions; multiple_beach_names,interval_coordinate,0,1,0,40.0,0.0279916025192442,0.8397480755773269,2.5192442267319803,1,0.027606998244009872,210.0,1429,9,Fall,37.648358,23.164814,33.0,94.0,0.0,0.0,East,Pebbles,2.0,0.1740097792738904,0.2091258628687429,2.370506321254478,12.0,Rural,0.0147781538145784
23,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 11,2019-09-06,2019-09-06,2023-08-02,2023-08-05,identity_review,multiple_regions,interval_coordinate,0,1,0,87.0,0.0610098176718092,1.8302945301542777,5.490883590462833,1,0.059221112814114615,217.0,1426,9,Fall,37.582833,23.235325,135.0,874.0,0.0,0.0,North,Pebbles,2.0,0.1651214103416665,0.2181360893081527,2.370506321254478,16.9,Rural,0.0173765628311082
24,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 12,2019-09-07,2019-09-07,2023-08-06,2023-08-06,identity_review,multiple_regions,interval_coordinate,0,1,0,21.0,0.0146955913226032,0.4408677396780965,1.3226032190342898,1,0.014588657484752661,22.0,1429,9,Fall,37.692478,23.162006,23.0,84.0,0.0,0.0,East,Pebbles,3.0,0.1740097949883048,0.2091258290970186,2.370506321254478,12.0,Rural,0.0147781538145784
25,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 13,2019-09-07,2019-09-07,2023-08-06,2023-08-06,identity_review,multiple_regions,interval_coordinate,0,1,0,123.0,0.086074177746676,2.58222533240028,7.74667599720084,1,0.08256952281329666,22.0,1429,9,Fall,37.696281,23.165869,28.0,139.0,0.0,0.0,East,Pebbles,3.0,0.1740097838176763,0.209125814387833,2.370506321254478,12.0,Rural,0.0147781538145784
26,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 14 (1) | ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 14 (2),2019-09-07,2019-09-08,2023-08-06,2023-08-08,identity_review,multiple_regions,interval_coordinate,0,1,0,247.0,0.17296918767507,5.189075630252101,15.567226890756302,1,0.1595383013596371,1094.0,1428,9,Fall,37.713333,23.158167,166.0,720.0,0.0,0.0,East,Pebbles,3.0,0.1740977995682391,0.2092154236849887,2.370506321254478,12.0,Rural,0.0147781538145784
27,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΑΓΚΊΣΤΡΙ ΠΑΡΑΛΊΑ 15,2019-09-08,2019-09-08,2023-08-07,2023-08-07,identity_review,multiple_regions,interval_coordinate,0,1,0,271.0,0.1896431070678796,5.689293212036389,17.067879636109165,1,0.17365335211444,155.0,1429,9,Fall,37.726219,23.126111,255.0,1880.0,0.0,0.0,East,Pebbles,3.0,0.1987298012022063,0.2327583565571145,2.370506321254478,12.0,Rural,0.0147781538145784
33,ΣΕΡΙΦΟΣ,,ΣΈΡΙΦΟΣ ΠΑΡΑΛΊΑ 5,2019-09-17,2019-09-17,2024-04-25,2024-04-25,strong,ok,interval_coordinate,1,1,1,154.0,0.0915576694411414,2.7467300832342447,8.240190249702735,1,0.08760573064754232,387.0,1682,9,Fall,37.18315,24.445653,144.0,1990.0,0.0,0.0,North,Pebbles,2.0,0.1682013862426004,0.1402246980411923,2.365675806111061,13.7,Rural,0.0105062082139446
34,ΣΕΡΙΦΟΣ,ΠΑΡΑΛΊΑ ΣΚΆΛΑ,ΣΈΡΙΦΟΣ ΠΑΡΑΛΊΑ 6,2019-09-17,2019-09-17,2024-04-24,2024-04-24,strong,ok,interval_coordinate,1,1,1,202.0,0.1201665675193337,3.604997025580012,10.814991076740036,1,0.11347739524853678,0.0,1681,9,Fall,37.204192,24.47775,,,0.0,0.0,North,Sand,2.0,0.1682014030263636,0.1402242140756801,2.365675806111061,13.7,Rural,0.0105062082139446
35,ΣΕΡΙΦΟΣ,ΠΑΡΑΛΊΑ ΒΟΡΕΙΝΌ,ΣΈΡΙΦΟΣ ΠΑΡΑΛΊΑ 7,2019-09-17,2019-09-17,2024-04-24,2024-04-24,strong,ok,interval_coordinate,1,1,1,0.0,0.0,0.0,0.0,0,0.0,35.0,1681,9,Fall,37.200244,24.51365,52.0,843.0,0.0,0.0,North,Mixed,2.0,0.1682013781061268,0.1402244128172313,2.365675806111061,13.7,Rural,0.0105062082139446
51,ΗΡΑΚΛΕΙΑ,ΠΑΡΑΛΊΑ ΑΛΙΜΙΆΣ,ΗΡΑΚΛΕΙΆ ΠΑΡΑΛΊΑ 3,2019-09-20,2019-09-20,2024-05-24,2024-05-24,strong,ok,interval_coordinate,1,1,1,0.0,0.0,0.0,0.0,0,0.0,100.0,1708,9,Fall,36.828461,25.423733,65.0,1851.0,0.0,0.0,South,Mixed,2.0,0.2049174220753842,0.2717129285800866,2.365675806111061,13.7,Rural,0.0105062082139446
52,ΗΡΑΚΛΕΙΑ,ΠΑΡΑΛΊΑ ΚΑΡΒΟΥΝΌΛΑΚΟΣ,ΗΡΑΚΛΕΙΆ ΠΑΡΑΛΊΑ 4,2019-09-20,2019-09-20,2024-05-24,2024-05-24,strong,ok,interval_coordinate,1,1,1,0.0,0.0,0.0,0.0,0,0.0,0.0,1708,9,Fall,36.822533,25.435172,,,0.0,0.0,South,Sand,2.0,0.2049173744957147,0.2717127204931055,2.365675806111061,13.7,Rural,0.0105062082139446
53,ΗΡΑΚΛΕΙΑ,ΠΑΡΑΛΊΑ ΒΟΡΕΙΝΉ,ΗΡΑΚΛΕΙΆ ΠΑΡΑΛΊΑ 5,2019-09-20,2019-09-20,2024-05-26,2024-05-26,strong,ok,interval_coordinate,1,1,1,273.0,0.1596491228070175,4.7894736842105265,14.36842105263158,1,0.14811747902309041,158.0,1710,9,Fall,36.853392,25.451847,45.0,782.0,0.0,0.0,North,Sand,2.0,0.2049173294174605,0.2717123980592664,2.365675806111061,13.7,Rural,0.0105062082139446
54,ΗΡΑΚΛΕΙΑ,,ΗΡΑΚΛΕΙΆ ΠΑΡΑΛΊΑ 6,2019-09-21,2019-09-21,2024-05-24,2024-05-24,strong,ok,interval_coordinate,1,1,1,0.0,0.0,0.0,0.0,0,0.0,0.0,1707,9,Fall,36.826611,25.462197,,,0.0,0.0,South,Mixed,4.0,0.204917347492602,0.2717124010979747,2.365675806111061,13.7,Rural,0.0105062082139446
55,ΗΡΑΚΛΕΙΑ,,ΗΡΑΚΛΕΙΆ ΠΑΡΑΛΊΑ 7,2019-09-21,2019-09-21,2024-05-24,2024-05-24,strong,ok,interval_coordinate,1,1,1,0.0,0.0,0.0,0.0,0,0.0,0.0,1707,9,Fall,36.8245,25.458586,,,0.0,0.0,South,Mixed,4.0,0.2049173778611408,0.2717124298622497,2.365675806111061,13.7,Rural,0.0105062082139446
56,ΣΧΟΙΝΟΥΣΑ - ΟΦΕΙΔΟΥΣΣΑ,,ΣΧΟΙΝΟΎΣΣΑ ΠΑΡΑΛΊΑ 1,2019-09-22,2019-09-22,2024-05-25,2024-05-25,identity_review,multiple_regions,interval_coordinate,0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1707,9,Fall,36.844869,25.522772,,,0.0,0.0,North,Mixed,4.0,0.2049172257122997,0.2717123717214861,2.365675806111061,13.7,Rural,0.0105062082139446
58,ΣΧΟΙΝΟΥΣΑ - ΟΦΕΙΔΟΥΣΣΑ,ΠΑΡΑΛΊΑ ΑΛΥΓΑΡΙΆ ΚΆΜΠΟΣ,ΣΧΟΙΝΟΎΣΣΑ ΠΑΡΑΛΊΑ 3,2019-09-22,2019-09-22,2024-05-25,2024-05-25,identity_review,review_coordinates; multiple_regions,interval_coordinate,0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1707,9,Fall,36.855167,25.53455,,,1.0,0.0,South,Sand,4.0,0.2049172378674023,0.2717123567606093,2.365675806111061,13.7,Rural,0.0105062082139446
60,ΣΧΟΙΝΟΥΣΑ - ΟΦΕΙΔΟΥΣΣΑ,ΠΑΡΑΛΊΑ ΆΓΙΟΣ ΠΈΤΡΟΣ,ΣΧΟΙΝΟΎΣΣΑ ΠΑΡΑΛΊΑ 5,2019-09-22,2019-09-22,2024-05-25,2024-05-25,coordinate_mismatch,coordinate_mismatch; multiple_regions; multiple_beach_names,interval_coordinate,0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1707,9,Fall,36.859114,25.525747,,,0.0,0.0,South,Sand,4.0,0.2049172480830039,0.2717123579020455,2.365675806111061,13.7,Rural,0.0105062082139446
61,ΣΧΟΙΝΟΥΣΑ - ΟΦΕΙΔΟΥΣΣΑ,,ΣΧΟΙΝΟΎΣΣΑ ΠΑΡΑΛΊΑ 6,2019-09-22,2019-09-22,2024-05-25,2024-05-25,identity_review,review_coordinates; multiple_regions,interval_coordinate,0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1707,9,Fall,36.856756,25.5238,,,0.0,0.0,South,Mixed,4.0,0.2049172480830039,0.2717123579020455,2.365675806111061,13.7,Rural,0.0105062082139446
62,ΣΧΟΙΝΟΥΣΑ - ΟΦΕΙΔΟΥΣΣΑ,ΠΑΡΑΛΊΑ ΆΗ ΒΑΣΊΛΗΣ,ΣΧΟΙΝΟΎΣΣΑ ΠΑΡΑΛΊΑ 7,2019-09-22,2019-09-22,2024-05-25,2024-05-25,identity_review,probable; multiple_regions,interval_coordinate,0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1707,9,Fall,36.854275,25.522606,,,0.0,0.0,South,Sand,4.0,0.2049172419700891,0.2717123634529002,2.365675806111061,13.7,Rural,0.0105062082139446
66,ΣΧΟΙΝΟΥΣΑ - ΟΦΕΙΔΟΥΣΣΑ,ΠΑΡΑΛΊΑ ΓΕΡΟΛΙΜΝΙΏΝΑΣ,ΣΧΟΙΝΟΎΣΣΑ ΠΑΡΑΛΊΑ 11,2019-09-23,2019-09-23,2024-05-25,2024-05-25,identity_review,multiple_regions,interval_coordinate,0,1,0,121.0,0.070926143024619,2.12778429073857,6.38335287221571,1,0.06852382832638229,226.0,1706,9,Fall,36.885722,25.512783,25.0,393.0,0.0,0.0,North,Sand,2.0,0.2049172517324052,0.2717123382493454,2.365675806111061,13.7,Rural,0.0105062082139446
68,ΑΝΩ - ΚΑΤΩ ΚΟΥΦΟΝΗΣΙ,ΠΑΡΑΛΊΑ ΔΈΤΗΣ,ΚΆΤΩ ΚΟΥΦΟΝΉΣΙ ΠΑΡΑΛΊΑ 2,2019-09-24,2019-09-24,2024-05-27,2024-05-27,identity_review,multiple_regions,interval_coordinate,0,1,0,0.0,0.0,0.0,0.0,0,0.0,10.0,1707,9,Fall,36.911969,25.580522,86.0,1206.0,0.0,0.0,South,Pebbles,2.0,0.2049173148102903,0.2717123896436009,2.365675806111061,13.7,Rural,0.0105062082139446
69,ΑΝΩ - ΚΑΤΩ ΚΟΥΦΟΝΗΣΙ,ΠΑΡΑΛΊΑ ΝΕΡΌ,ΚΆΤΩ ΚΟΥΦΟΝΉΣΙ ΠΑΡΑΛΊΑ 3,2019-09-24,2019-09-24,2024-05-27,2024-05-27,identity_review,multiple_regions,interval_coordinate,0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1707,9,Fall,36.913175,25.583225,,,0.0,0.0,South,Mixed,2.0,0.2049173047547745,0.2717124010249069,2.365675806111061,13.7,Rural,0.0105062082139446
